lang;OK;WRONG
af-ZA;18812;1484
ar-SA;27824;3220
bg-BG;16796;1071
cs-CZ;20642;167
da-DK;16116;818
de-DE;16140;2099
el-GR;19053;668
en-GB;17511;151
es-ES;16818;193
et-EE;20018;671
fa-IR;8939;4333
fi-FI;19476;318
fr-FR;14835;214
he-IL;20184;489
hi-IN;10581;5751
hr-HR;20925;1272
hu-HU;20200;559
id-ID;10020;689
is-IS;16801;3247
it-IT;16707;116
ja-JP;14576;0
ko-KR;19002;1265
lt-LT;21104;758
lv-LV;21731;702
ms-MY;10869;1221
nb-NO;17493;366
nl-NL;15436;808
pl-PL;20965;196
pt-BR;14459;412
pt-PT;13918;495
ro-RO;12895;4302
ru-RU;21242;153
sk-SK;19716;493
sl-SI;18129;286
sr-Latn;17839;855
sv-SE;19873;403
th-TH;6313;338
tr-TR;16875;827
uk-UA;21961;567
ur-PK;9133;5974
vi-VN;1048;3495
zh-Hans;8584;0
ar-SA;29287;3417
af-ZA;18775;1478
bg-BG;17451;1124
cs-CZ;21772;182
da-DK;16878;861
de-DE;16706;2155
el-GR;20057;719
en-GB;18261;164
es-ES;17753;214
et-EE;21010;702
fa-IR;9118;4635
fi-FI;20400;337
fr-FR;15379;221
he-IL;21167;508
hi-IN;11084;6314
hr-HR;22307;1366
hu-HU;21316;610
id-ID;10310;716
is-IS;17749;3486
it-IT;17554;136
ja-JP;15160;0
ko-KR;19993;1362
lt-LT;22430;819
lv-LV;23354;762
ms-MY;11211;1261
nb-NO;18636;400
nl-NL;15887;852
pl-PL;22097;209
pt-BR;14890;433
pt-PT;14323;513
ro-RO;13390;4562
ru-RU;22429;158
sk-SK;20747;518
sl-SI;18806;297
sr-Latn;18467;897
sv-SE;21303;427
th-TH;6443;359
tr-TR;17882;901
uk-UA;23435;639
ur-PK;9383;6256
vi-VN;1067;3566
zh-Hans;8831;0
bg-BG;17485;1129
af-ZA;17894;1400
ar-SA;28032;3270
cs-CZ;20867;165
da-DK;16137;819
de-DE;16179;2103
el-GR;19241;674
en-GB;17666;155
es-ES;17011;196
et-EE;20246;684
fa-IR;8973;4410
fi-FI;19716;319
fr-FR;14963;213
he-IL;20347;487
hi-IN;10606;5864
hr-HR;21222;1266
hu-HU;20420;564
id-ID;10106;694
is-IS;16912;3312
it-IT;16906;121
ja-JP;14724;0
ko-KR;19167;1284
lt-LT;21370;764
lv-LV;22156;723
ms-MY;10932;1225
nb-NO;17544;369
nl-NL;15400;820
pl-PL;21226;200
pt-BR;14578;418
pt-PT;14010;498
ro-RO;12936;4328
ru-RU;21601;150
sk-SK;20006;493
sl-SI;18326;293
sr-Latn;18063;872
sv-SE;20014;404
th-TH;6326;344
tr-TR;17049;833
uk-UA;22264;601
ur-PK;9207;6034
vi-VN;1061;3515
zh-Hans;8612;0
cs-CZ;21861;185
af-ZA;18173;1422
ar-SA;28430;3314
bg-BG;17174;1093
da-DK;16393;833
de-DE;16413;2115
el-GR;19507;701
en-GB;17789;154
es-ES;17234;208
et-EE;20500;683
fa-IR;9000;4434
fi-FI;19956;326
fr-FR;15126;215
he-IL;20619;500
hi-IN;10741;5965
hr-HR;21562;1300
hu-HU;20751;591
id-ID;10166;697
is-IS;17142;3343
it-IT;17140;131
ja-JP;14874;0
ko-KR;19407;1304
lt-LT;21727;792
lv-LV;22551;721
ms-MY;11046;1231
nb-NO;17875;380
nl-NL;15586;823
pl-PL;21523;203
pt-BR;14676;422
pt-PT;14128;503
ro-RO;13096;4389
ru-RU;21910;153
sk-SK;20610;510
sl-SI;18534;294
sr-Latn;18190;880
sv-SE;20356;417
th-TH;6354;349
tr-TR;17267;854
uk-UA;22621;613
ur-PK;9246;6087
vi-VN;1061;3542
zh-Hans;8689;0
da-DK;16972;867
af-ZA;18151;1421
ar-SA;28221;3266
bg-BG;17030;1083
cs-CZ;21036;171
de-DE;16326;2107
el-GR;19336;683
en-GB;17726;154
es-ES;17097;199
et-EE;20395;681
fa-IR;8975;4392
fi-FI;19873;320
fr-FR;15027;205
he-IL;20529;493
hi-IN;10678;5923
hr-HR;21300;1290
hu-HU;20566;573
id-ID;10099;695
is-IS;17105;3316
it-IT;16986;122
ja-JP;14768;0
ko-KR;19272;1291
lt-LT;21516;773
lv-LV;22290;725
ms-MY;10948;1222
nb-NO;18009;382
nl-NL;15547;828
pl-PL;21358;198
pt-BR;14621;411
pt-PT;14082;502
ro-RO;13052;4348
ru-RU;21676;152
sk-SK;20107;489
sl-SI;18423;283
sr-Latn;18064;868
sv-SE;20375;417
th-TH;6344;345
tr-TR;17176;834
uk-UA;22400;611
ur-PK;9205;6039
vi-VN;1061;3519
zh-Hans;8653;0
de-DE;16727;2156
af-ZA;18173;1399
ar-SA;28340;3280
bg-BG;17041;1094
cs-CZ;20998;172
da-DK;16318;814
el-GR;19312;682
en-GB;17633;157
es-ES;17002;202
et-EE;20406;680
fa-IR;8995;4413
fi-FI;19810;328
fr-FR;15029;213
he-IL;20482;497
hi-IN;10699;5822
hr-HR;21341;1273
hu-HU;20612;577
id-ID;10149;703
is-IS;17043;3321
it-IT;17005;127
ja-JP;14830;0
ko-KR;19335;1306
lt-LT;21529;779
lv-LV;22201;730
ms-MY;11000;1230
nb-NO;17742;374
nl-NL;15660;825
pl-PL;21397;202
pt-BR;14568;420
pt-PT;14022;495
ro-RO;13062;4370
ru-RU;21761;156
sk-SK;20166;502
sl-SI;18458;291
sr-Latn;18078;873
sv-SE;20142;416
th-TH;6368;350
tr-TR;17170;844
uk-UA;22477;577
ur-PK;9235;6061
vi-VN;1060;3517
zh-Hans;8697;0
el-GR;20082;724
af-ZA;18089;1404
ar-SA;28451;3313
bg-BG;17126;1083
cs-CZ;21132;175
da-DK;16368;823
de-DE;16333;2117
en-GB;17752;157
es-ES;17233;201
et-EE;20464;687
fa-IR;8995;4468
fi-FI;19929;327
fr-FR;15123;214
he-IL;20644;497
